challenger,vs,retention_axis,challenger_recovery,ref_recovery,challenger_retention,ref_retention,dominates_by_mean,challenger_recovery_r0.9,ref_recovery_r0.9,P_dominates_bootstrap,dominates_at_both_ratios
d1_E16_g1,sharecap_c0.05,synthetic r0.2,0.9473085805649316,0.999475928228815,0.9470437017994857,0.9861182519280206,False,,1.0004456212530248,0.0,False
d1_E16_g1,sharecap_c0.05,cicids r0.2,0.9473085805649316,0.999475928228815,0.6561942959001783,0.8072638146167559,False,,1.0004456212530248,0.0,False
d1_E16_g1,sharecap_c0.08,synthetic r0.05,0.9473085805649316,0.9924054006040149,0.6449086161879896,1.0,False,,0.9954764261175507,0.0,False
d1_E16_g1,sharecap_c0.08,synthetic r0.2,0.9473085805649316,0.9924054006040149,0.9470437017994857,0.9943444730077119,False,,0.9954764261175507,0.0,False
d1_E16_g1,sharecap_c0.08,cicids r0.2,0.9473085805649316,0.9924054006040149,0.6561942959001783,0.8335561497326204,False,,0.9954764261175507,0.0,False
d1_E16_g2,knn,synthetic r0.05,0.9563865695505418,0.9894563865695506,0.02924281984334205,0.4234986945169713,False,,0.9909010358103312,0.0,False
d1_E16_g2,knn,synthetic r0.2,0.9563865695505418,0.9894563865695506,0.12236503856041131,0.7840616966580977,False,,0.9909010358103312,0.0,False
d1_E16_g2,knn,cicids r0.2,0.9563865695505418,0.9894563865695506,0.6501782531194298,0.6584224598930482,False,,0.9909010358103312,0.003,False
d1_E16_g2,uniform_w0.1,synthetic r0.05,0.9563865695505418,0.988807958784864,0.02924281984334205,0.9122715404699739,False,,0.4332941255719238,0.0,False
d1_E16_g2,uniform_w0.1,synthetic r0.2,0.9563865695505418,0.988807958784864,0.12236503856041131,0.9763496143958869,False,,0.4332941255719238,0.0,False
d1_E16_g2,uniform_w0.1,cicids r0.2,0.9563865695505418,0.988807958784864,0.6501782531194298,0.7410873440285204,False,,0.4332941255719238,0.0,False
d1_E16_g2,uniform_w0.05,synthetic r0.05,0.9563865695505418,0.9980547166459407,0.02924281984334205,0.7107049608355093,False,,0.5220504795610112,0.0,False
d1_E16_g2,uniform_w0.05,synthetic r0.2,0.9563865695505418,0.9980547166459407,0.12236503856041131,0.9604113110539844,False,,0.5220504795610112,0.0,False
d1_E16_g2,uniform_w0.05,cicids r0.2,0.9563865695505418,0.9980547166459407,0.6501782531194298,0.7054367201426025,False,,0.5220504795610112,0.00025,False
