run_dir,calibration_tau,model,threshold_mode,jitter,realized_nn_median,target_poison_ratio,n_seeds,damage,delta_fpr_mean,delta_fpr_std,delta_tpr_mean,delta_tpr_std,sigma_control,clears_2sigma
cicids,0.0,rf,recalibrated,0.2,0.17261844716975427,0.2,5,0.0609710626570479,0.0003099999999999995,0.0004823769273089254,-0.0609710626570479,0.07195238501937387,0.030293837226850386,True
cicids,0.0,rf,recalibrated,0.3,0.25405201657983284,0.2,5,0.07358352922104242,-8.000000000000056e-05,0.000774072025072603,-0.07358352922104242,0.04544866558043984,0.030293837226850386,True
cicids,0.0,rf,recalibrated,0.7,0.5591151059912843,0.2,5,0.1089892194212531,-0.0005650000000000006,0.0014586594873376036,-0.1089892194212531,0.03841158636757059,0.030293837226850386,True
cicids,0.0,rf,recalibrated,1.5,1.0542563956797593,0.2,5,0.10329901921050495,0.00026499999999999994,0.0005079370039680118,-0.10329901921050495,0.03834023574282481,0.030293837226850386,True
cicids,0.0,rf,recalibrated,0.0,0.010793520647202747,0.5,5,0.2816730161303396,0.00037499999999999963,0.0004568916720624266,-0.2816730161303396,0.03800513778042381,0.030293837226850386,True
cicids,0.0,rf,recalibrated,0.01,0.014164875736472057,0.5,5,-0.009564724000972724,-2.500000000000037e-05,0.00043981530214397935,0.009564724000972724,0.041693398808923386,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.03,0.03109014898322242,0.5,5,-0.011039961092648154,0.00031999999999999943,0.00042624816715148455,0.011039961092648154,0.021286943465604447,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.1,0.09030748479091491,0.5,5,-0.015254924211720877,0.0002899999999999996,0.00039788503364665534,0.015254924211720877,0.025316355077851186,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.3,0.25354973425167204,0.5,5,0.015935802869417183,0.0002349999999999998,0.0006387487769068528,-0.015935802869417183,0.022391292855314007,0.030293837226850386,False
cicids,0.0,rf,recalibrated,1.5,1.05365202140995,0.5,5,0.09533922347410226,0.0003049999999999997,0.0005277902045320661,-0.09533922347410226,0.030677064442320462,0.030293837226850386,True
cicids,0.0,xgboost,fixed,0.0,0.010602133547744839,0.005,5,-0.004505000000000001,-0.004505000000000001,0.007206602875141658,0.006095485126043609,0.008719260145044856,0.009977865822787509,False
cicids,0.0,xgboost,fixed,0.01,0.014301275655447476,0.005,5,-0.0017349999999999998,-0.0017349999999999998,0.015012958985489835,-0.0004701305017427382,0.011121862879521785,0.009977865822787509,False
cicids,0.0,xgboost,fixed,0.03,0.031457928635491225,0.005,5,-0.007050000000000001,-0.007050000000000001,0.011222229613583923,0.004587825241144539,0.0028974895422547203,0.009977865822787509,False
cicids,0.0,xgboost,fixed,0.1,0.09100813636040211,0.005,5,-0.01025,-0.01025,0.011013954217264569,0.0001783253627299919,0.01029126858614786,0.009977865822787509,False
cicids,0.0,xgboost,fixed,0.3,0.25203698837677635,0.005,5,-0.010655000000000001,-0.010655000000000001,0.006166476911494927,0.012207181648699028,0.005720578992615867,0.009977865822787509,False
