scenario,model,seed,retention,budget_mode,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,xgboost,5,accumulate,fixed_ratio,0.005,15,fixed,0.0815638080239296,30113,113,0.003752532128980839,0.024825,0.8744427332414687,0.915711739241151,0.8946015424164524,0.987056552443868,39007,993,1549,10788,113,1758.560747382029,838601.7564226456,2065.7180885213843,7,136.28178322372764,35159.141256397335,208.6736818661725,True,False,0.8699561909153793,4337,0.99675,4000,0.757,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,15,recalibrated,0.17584559321403503,30113,113,0.003752532128980839,0.0082,0.8644727243252006,0.9701628308923861,0.914273467638234,0.987056552443868,39672,328,1672,10665,113,1758.560747382029,838601.7564226456,2065.7180885213843,7,136.28178322372764,35159.141256397335,208.6736818661725,True,False,0.8512796864191837,4337,0.99675,4000,0.7465,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,16,fixed,0.0815638080239296,30121,121,0.004017130905348428,0.034225,0.8690929723595687,0.8867752874038541,0.8778450957917145,0.985986023749696,38631,1369,1615,10722,121,1889.2932365784152,885662.0748998334,2190.6847948972927,8,130.73248919638627,47060.31847718775,124.96670637590847,True,False,0.8754899700253631,4337,0.99675,4000,0.7345,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,16,recalibrated,0.19650836288928986,30121,121,0.004017130905348428,0.006075,0.8446948204587825,0.9772130532633159,0.9061345158906136,0.985986023749696,39757,243,1916,10421,121,1889.2932365784152,885662.0748998334,2190.6847948972927,8,130.73248919638627,47060.31847718775,124.96670637590847,True,False,0.8464376296979479,4337,0.996,4000,0.6915,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,17,fixed,0.0815638080239296,30128,128,0.004248539564524694,0.036175,0.8609062170706007,0.8800961219754724,0.8703954107764803,0.9824514732106671,38553,1447,1716,10621,128,1967.9061299622238,897477.0056129581,2320.1135583698206,7,78.61289338380867,11814.930713124642,129.42876347252772,True,False,0.8752593958957805,4337,0.99625,4000,0.71,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,17,recalibrated,0.23145370185375214,30128,128,0.004248539564524694,0.0097,0.7881981032665965,0.961629746835443,0.8663192124370795,0.9824514732106671,39612,388,2613,9724,128,1967.9061299622238,897477.0056129581,2320.1135583698206,7,78.61289338380867,11814.930713124642,129.42876347252772,True,False,0.8219967719621858,4337,0.99575,4000,0.544,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,18,fixed,0.0815638080239296,30136,136,0.004512874966817096,0.045975,0.8589608494771824,0.8521228690897394,0.8555281960198603,0.9835051552241225,38161,1839,1740,10597,136,2116.911954289473,944439.1519989304,2438.5610536355202,8,149.00582432724934,46962.146385972315,118.44749526569952,True,False,0.8639612635462302,4337,0.9965,4000,0.716,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,18,recalibrated,0.2683449387550354,30136,136,0.004512874966817096,0.0093,0.8375618059495825,0.9652498832321346,0.8968839510459161,0.9835051552241225,39628,372,2004,10333,136,2116.911954289473,944439.1519989304,2438.5610536355202,8,149.00582432724934,46962.146385972315,118.44749526569952,True,False,0.8173852893705327,4337,0.9955,4000,0.7015,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,19,fixed,0.0815638080239296,30143,143,0.004744053345718741,0.064975,0.8682013455459188,0.8047332832456799,0.8352633836316139,0.9839973048553133,37401,2599,1626,10711,143,2305.442430079723,1040760.8219949083,2579.599866431536,7,188.53047579024994,96321.66999597792,141.03881279601597,True,False,0.8711090615632926,4337,0.99675,4000,0.7365,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,19,recalibrated,0.25424444675445557,30143,143,0.004744053345718741,0.0058,0.837967090864878,0.9780510879848628,0.9026061902475224,0.9839973048553133,39768,232,1999,10338,143,2305.442430079723,1040760.8219949083,2579.599866431536,7,188.53047579024994,96321.66999597792,141.03881279601597,True,False,0.815771270463454,4337,0.99625,4000,0.70375,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,20,fixed,0.0815638080239296,30151,151,0.005008125766972903,0.039975,0.8753343600551188,0.8710275850943701,0.8731756620173843,0.9858793324957446,38401,1599,1538,10799,151,2528.5581763790706,1136273.9629528127,2839.381262271645,8,223.11574629934756,95513.14095790428,259.7813958401089,True,False,0.8747982476366152,4337,0.99675,4000,0.7545,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,20,recalibrated,0.36160391569137573,30151,151,0.005008125766972903,0.00995,0.7924130663856691,0.9608806762335365,0.868553151792457,0.9858793324957446,39602,398,2561,9776,151,2528.5581763790706,1136273.9629528127,2839.381262271645,8,223.11574629934756,95513.14095790428,259.7813958401089,True,False,0.7940973022826839,4337,0.99575,4000,0.58725,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
